title,description,primary_instructor,subject,catalog_number,label_term,section,sub_title,credits,requirements_distribution,other,consent,advisory_prerequisites,other_course_info,repeatability
"CGIS: Environment and Sustainable Development in San Jose, Costa Rica","Students take classes in intensive language, ecology, Latin American political economy, and development theory. They also do fieldwork and an independent research project.",,STDABRD,303,"Winter 2022, ",Section 003,,3,,Sustain,,"Minimum two semesters college-level Spanish, fulfilled by: SPANISH 100, SPANISH 102, RCLANG 194, or equivalent Background in appropriate social and natural sciences.",,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: Environment and Sustainable Development in San Jose, Costa Rica","Students take classes in intensive language, ecology, Latin American political economy, and development theory. They also do fieldwork and an independent research project.",,STDABRD,303,"Winter 2022, ",Section 004,,6,,Sustain,,"Minimum two semesters college-level Spanish, fulfilled by: SPANISH 100, SPANISH 102, RCLANG 194, or equivalent Background in appropriate social and natural sciences.",,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: Environment and Sustainable Development in San Jose, Costa Rica","Students take classes in intensive language, ecology, Latin American political economy, and development theory. They also do fieldwork and an independent research project.",,STDABRD,303,"Winter 2022, ",Section 005,,3,,Sustain,,"Minimum two semesters college-level Spanish, fulfilled by: SPANISH 100, SPANISH 102, RCLANG 194, or equivalent Background in appropriate social and natural sciences.",,May be repeated for a maximum of 60 credit(s).  May be elected more than once in the same term.
"CGIS: Intensive Arabic Language and Culture in Amman, Jordan","Administered by CET, this program offers Intensive Arabic language study along with content-based Arabic language courses offered in literature, contemporary society, business, history, religion and politics.",,STDABRD,304,"Winter 2022, ",Section 001,,1 - 15,,,,2 semesters of Modern Standard Arabic.,,May be repeated for a maximum of 60 credit(s).  
"CGIS: Intensive Arabic Language and Culture in Amman, Jordan","Administered by CET, this program offers Intensive Arabic language study along with content-based Arabic language courses offered in literature, contemporary society, business, history, religion and politics.",,STDABRD,304,"Winter 2022, ",Section 002,,6,,,,2 semesters of Modern Standard Arabic.,,May be repeated for a maximum of 60 credit(s).  
"CGIS: Intensive Arabic Language and Culture in Amman, Jordan","Administered by CET, this program offers Intensive Arabic language study along with content-based Arabic language courses offered in literature, contemporary society, business, history, religion and politics.",,STDABRD,304,"Winter 2022, ",Section 003,,3,,,,2 semesters of Modern Standard Arabic.,,May be repeated for a maximum of 60 credit(s).  
"CGIS: Intensive Arabic Language and Culture in Amman, Jordan","Administered by CET, this program offers Intensive Arabic language study along with content-based Arabic language courses offered in literature, contemporary society, business, history, religion and politics.",,STDABRD,304,"Winter 2022, ",Section 004,,3,,,,2 semesters of Modern Standard Arabic.,,May be repeated for a maximum of 60 credit(s).  
"CGIS: Intensive Arabic Language and Culture in Amman, Jordan","Administered by CET, this program offers Intensive Arabic language study along with content-based Arabic language courses offered in literature, contemporary society, business, history, religion and politics.",,STDABRD,304,"Winter 2022, ",Section 005,,3,,,,2 semesters of Modern Standard Arabic.,,May be repeated for a maximum of 60 credit(s).  
"CGIS: Advanced Language and Culture in Madrid, Spain","Students take intensive Spanish classes and get an introduction to Madrid and Spanish culture, politics and academic life.  Classes are offered at the program center and at the Universidad Complutense de Madrid.  A for-credit internship option is also available, as are several business courses.  All classes are taught in Spanish.",,STDABRD,306,"Winter 2022, ",Section 001,,1 - 15,,,,"Minimum four semesters college-level Spanish by program start date fulfilled by any of the following or an equivalent: SPANISH 230, SPANISH 232, RCLANG 294, or RCLANG 314.",,May be repeated for a maximum of 75 credit(s).  May be elected more than once in the same term.
"CGIS: Advanced Language and Culture in Madrid, Spain","Students take intensive Spanish classes and get an introduction to Madrid and Spanish culture, politics and academic life.  Classes are offered at the program center and at the Universidad Complutense de Madrid.  A for-credit internship option is also available, as are several business courses.  All classes are taught in Spanish.",,STDABRD,306,"Winter 2022, ",Section 002,,3,,,,"Minimum four semesters college-level Spanish by program start date fulfilled by any of the following or an equivalent: SPANISH 230, SPANISH 232, RCLANG 294, or RCLANG 314.",,May be repeated for a maximum of 75 credit(s).  May be elected more than once in the same term.
"CGIS: Advanced Language and Culture in Madrid, Spain","Students take intensive Spanish classes and get an introduction to Madrid and Spanish culture, politics and academic life.  Classes are offered at the program center and at the Universidad Complutense de Madrid.  A for-credit internship option is also available, as are several business courses.  All classes are taught in Spanish.",,STDABRD,306,"Winter 2022, ",Section 003,,3,,,,"Minimum four semesters college-level Spanish by program start date fulfilled by any of the following or an equivalent: SPANISH 230, SPANISH 232, RCLANG 294, or RCLANG 314.",,May be repeated for a maximum of 75 credit(s).  May be elected more than once in the same term.
